Step,AgentID,Trust,Group
0,0,0.5,Broker
0,1,0.7,A
0,2,0.3,B
0,3,0.7,A
0,4,0.3,B
0,5,0.7,A
0,6,0.3,B
0,7,0.7,A
0,8,0.3,B
0,9,0.7,A
1,7,0.7,A
1,4,0.3,B
1,0,0.5,Broker
1,9,0.7,A
1,6,0.3,B
1,5,0.7,A
1,1,0.7,A
1,8,0.3,B
1,2,0.3,B
1,3,0.7,A
2,8,0.3,B
2,9,0.7,A
2,0,0.5,Broker
2,2,0.3,B
2,3,0.7,A
2,5,0.7,A
2,7,0.7,A
2,4,0.3,B
2,6,0.3,B
2,1,0.7,A
3,7,0.7,A
3,6,0.3,B
3,0,0.5,Broker
3,8,0.3,B
3,1,0.7,A
3,2,0.3,B
3,4,0.3,B
3,5,0.7,A
3,9,0.7,A
3,3,0.7,A
4,5,0.7,A
4,3,0.7,A
4,9,0.7,A
4,7,0.7,A
4,0,0.5,Broker
4,8,0.3,B
4,6,0.3,B
4,4,0.3,B
4,1,0.7,A
4,2,0.3,B
5,5,0.7,A
5,8,0.3,B
5,6,0.3,B
5,9,0.7,A
5,2,0.3,B
5,7,0.7,A
5,1,0.7,A
5,0,0.5,Broker
5,4,0.3,B
5,3,0.7,A
6,3,0.7,A
6,4,0.3,B
6,1,0.7,A
6,0,0.5,Broker
6,7,0.7,A
6,9,0.7,A
6,8,0.3,B
6,5,0.7,A
6,2,0.3,B
6,6,0.3,B
7,4,0.3,B
7,0,0.5,Broker
7,5,0.7,A
7,8,0.3,B
7,2,0.3,B
7,9,0.7,A
7,7,0.7,A
7,1,0.7,A
7,3,0.7,A
7,6,0.3,B
8,3,0.7,A
8,9,0.7,A
8,6,0.3,B
8,2,0.3,B
8,4,0.3,B
8,8,0.3,B
8,1,0.7,A
8,5,0.7,A
8,0,0.5,Broker
8,7,0.7,A
9,6,0.3,B
9,5,0.7,A
9,3,0.7,A
9,9,0.7,A
9,7,0.7,A
9,1,0.7,A
9,0,0.5,Broker
9,4,0.3,B
9,2,0.3,B
9,8,0.3,B
10,4,0.3,B
10,1,0.7,A
10,9,0.7,A
10,6,0.3,B
10,5,0.7,A
10,8,0.3,B
10,7,0.7,A
10,2,0.3,B
10,0,0.5,Broker
10,3,0.7,A
11,3,0.7,A
11,8,0.3,B
11,5,0.7,A
11,9,0.7,A
11,7,0.7,A
11,1,0.7,A
11,6,0.3,B
11,2,0.3,B
11,0,0.5,Broker
11,4,0.3,B
12,2,0.3,B
12,0,0.5,Broker
12,3,0.7,A
12,6,0.3,B
12,5,0.7,A
12,4,0.3,B
12,7,0.7,A
12,1,0.7,A
12,8,0.3,B
12,9,0.7,A
13,1,0.7,A
13,7,0.7,A
13,9,0.7,A
13,2,0.3,B
13,3,0.7,A
13,4,0.3,B
13,0,0.5,Broker
13,5,0.7,A
13,6,0.3,B
13,8,0.3,B
14,7,0.7,A
14,1,0.7,A
14,2,0.3,B
14,5,0.7,A
14,3,0.7,A
14,6,0.3,B
14,0,0.5,Broker
14,9,0.7,A
14,8,0.3,B
14,4,0.3,B
15,8,0.3,B
15,1,0.7,A
15,2,0.3,B
15,5,0.7,A
15,7,0.7,A
15,9,0.7,A
15,3,0.7,A
15,4,0.3,B
15,0,0.5,Broker
15,6,0.3,B
16,6,0.3,B
16,3,0.7,A
16,2,0.3,B
16,9,0.7,A
16,5,0.7,A
16,0,0.5,Broker
16,7,0.7,A
16,1,0.7,A
