exp_id,trust_A_initial,trust_B_initial,negative_spillover,avg_trust_A_final,avg_trust_B_final
1,0.1,0.2,True,0.0,0.0
2,0.1,0.2,False,0.0,0.0
3,0.1,0.6,True,0.0,0.0
4,0.1,0.6,False,0.0,0.09999999999999956
5,0.1,0.8,True,0.0,0.0
6,0.1,0.8,False,0.0,0.29999999999999966
7,0.5,0.2,True,0.0,0.0
8,0.5,0.2,False,0.0,0.0
9,0.5,0.6,True,0.0,0.0
10,0.5,0.6,False,0.0,0.09999999999999956
11,0.5,0.8,True,0.0,0.0
12,0.5,0.8,False,0.0,0.29999999999999966
13,0.9,0.2,True,0.0,0.0
14,0.9,0.2,False,0.3999999999999995,0.0
15,0.9,0.6,True,0.0,0.0
16,0.9,0.6,False,0.3999999999999995,0.09999999999999956
17,0.9,0.8,True,0.0,0.0
18,0.9,0.8,False,0.3999999999999995,0.29999999999999966
